RKey.keys,RKey.rt,slider.response,slider.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,ITI,Ratingtrials.thisRepN,Ratingtrials.thisTrialN,Ratingtrials.thisN,Ratingtrials.thisIndex,Ratingtrials.ran,Image,Gender,AgeGroup,MacID,Age,"Ethnicity (e.g., African, Asian, & Caucasian)",date,expName,psychopyVersion,OS,frameRate
space,2.9524,59.87109375,1.6372,0.049826389,-0.377690972,1,0,0,NextBu,1.079129327,0,0,0,1,1,Images/yA-M-ver7.jpg,,youngadult,,,,2021-11-01_21h00.27.669,FatFaceRating,2021.2.3,MacIntel,60.0024001
,,38.36111111,1.0644,-0.008454861,-0.392048611,1,0,0,NextBu,0.868980745,0,1,1,3,1,Images/yA-F-ver5.jpg,,youngadult,,,,2021-11-01_21h00.27.669,FatFaceRating,2021.2.3,MacIntel,60.0024001
,,59.29079861,1.3033,0.013532986,-0.391341146,1,0,0,NextBu,1.184791016,0,2,2,0,1,Images/yA-M-ver5.jpg,,youngadult,,,,2021-11-01_21h00.27.669,FatFaceRating,2021.2.3,MacIntel,60.0024001
