RatingBlock,Image,Gender,AgeGroup,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,Ratingtrials.thisRepN,Ratingtrials.thisTrialN,Ratingtrials.thisN,Ratingtrials.thisIndex,RInstr.started,RInstr.stopped,RKey.keys,RKey.rt,RKey.started,RKey.stopped,image_5.started,image_5.stopped,slider.response,slider.rt,slider.started,slider.stopped,NextBu.started,NextBu.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_5.started,mouse_5.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,ITI,text.started,text.stopped,MacID,Gender,Age,Ethnicity (e.g., African, Asian, & Caucasian),date,expName,psychopyVersion,frameRate,
TrialCondition_C.xlsx,Images/yA-M-ver7.jpg,,youngadult,0,2,2,2,0,1,1,1,,,,,,,38.219275083974935,None,100.0,3.242267187917605,38.52503835095558,None,38.52503835095558,None,-0.04555555555555556,-0.4011111111111111,1,0,0,NextBu,0.29901788104325533,None,38.52503835095558,None,38.52503835095558,None,1.2011164427183165,42.644543763948604,None,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
TrialCondition_C.xlsx,Images/yA-F-ver5.jpg,,youngadult,0,2,2,2,0,2,2,3,,,,,,,43.86994887993205,None,100,2.1041634619468823,44.17522311594803,None,44.17522311594803,None,-0.03888888888888889,-0.38666666666666666,1,0,0,NextBu,0.32262608816381544,None,44.17522311594803,None,44.17522311594803,None,0.518918852865219,46.72803774802014,None,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
TrialCondition_C.xlsx,Images/yA-M-ver5.jpg,,youngadult,0,2,2,2,0,3,3,0,,,,,,,47.27399293601047,None,99.66666666666666,2.0598559640347958,47.574158040923066,None,47.574158040923066,None,-0.022222222222222223,-0.4255555555555556,1,0,0,NextBu,0.3177696062484756,None,47.574158040923066,None,47.574158040923066,None,0.5986476133061809,50.04138997301925,None,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
TrialCondition_C.xlsx,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
TrialCondition_B.xlsx,Images/F-C-A.jpg,,Adult,0,3,3,1,0,0,0,2,,,,,,,50.6828210739186,None,100,3.622682570014149,50.97530863294378,None,50.97530863294378,None,0.058888888888888886,-0.3622222222222222,1,0,0,NextBu,0.3165589878335595,None,50.97530863294378,None,50.97530863294378,None,1.2697231829209692,55.01332616095897,None,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
TrialCondition_B.xlsx,Images/F-A-C.jpg,,Adult,0,3,3,1,0,1,1,1,,,,,,,56.299751313985325,None,60.33333333333333,0.7389675789745525,56.59147224598564,None,56.59147224598564,None,0.06333333333333334,-0.39555555555555555,1,0,0,NextBu,0.3167134262621403,None,56.59147224598564,None,56.59147224598564,None,1.4000991605422106,57.39320805494208,None,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
TrialCondition_B.xlsx,Images/M-A-C.jpg,,Adult,0,3,3,1,0,2,2,5,,,,,,,58.817074573016725,None,59.333333333333336,1.0625326680019498,59.10793937195558,None,59.10793937195558,None,0.022222222222222223,-0.4011111111111111,1,0,0,NextBu,0.31300073012243956,None,59.10793937195558,None,59.10793937195558,None,0.7042560958832829,60.491680721985176,None,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
TrialCondition_B.xlsx,Images/F-A-A.jpg,,Adult,0,3,3,1,0,3,3,0,,,,,,,61.216182108968496,None,59.88888888888889,1.078985620988533,61.50963875697926,None,61.50963875697926,None,0.04666666666666667,-0.3877777777777778,1,0,0,NextBu,0.31583488918840885,None,61.50963875697926,None,61.50963875697926,None,1.1284985765034365,63.32198563194834,None,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
TrialCondition_B.xlsx,Images/M-A-A.jpg,,Adult,0,3,3,1,0,4,4,4,,,,,,,64.46621151291765,None,60.111111111111114,0.8201112799579278,64.75769341702107,None,64.75769341702107,None,0.035555555555555556,-0.43,1,0,0,NextBu,0.31670172314625233,None,64.75769341702107,None,64.75769341702107,None,0.7646335921059887,66.02251524792518,None,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
TrialCondition_B.xlsx,Images/F-C-C.jpg,,Adult,0,3,3,1,0,5,5,3,,,,,,,66.81575321499258,None,52.77777777777778,1.3891076260479167,67.10702156997286,None,67.10702156997286,None,0.027777777777777776,-0.3688888888888889,1,0,0,NextBu,0.3164055922534317,None,67.10702156997286,None,67.10702156997286,None,0.6484017524942092,68.67151781998109,None,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
TrialCondition_B.xlsx,Images/M-C-C.jpg,,Adult,0,3,3,1,0,6,6,7,,,,,,,69.34860593592748,None,54.0,1.2180761799681932,69.64019440999255,None,69.64019440999255,None,0.03888888888888889,-0.37777777777777777,1,0,0,NextBu,0.31757781212218106,None,69.64019440999255,None,69.64019440999255,None,0.9505102645141481,71.21254633495118,None,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
TrialCondition_B.xlsx,Images/M-C-A.jpg,,Adult,0,3,3,1,0,7,7,6,,,,,,,72.18410639592912,None,55.77777777777778,0.9949007090181112,72.4759286219487,None,72.4759286219487,None,0.024444444444444446,-0.36444444444444446,1,0,0,NextBu,0.31255996122490615,None,72.4759286219487,None,72.4759286219487,None,0.6319846694783686,74.88448213599622,None,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
TrialCondition_B.xlsx,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
None,,,,0,4,4,7,0,0,0,0,,,,,,,75.53015242400579,None,55.00000000000001,1.1241424930049106,75.82398911600467,None,75.82398911600467,None,0.05,-0.37333333333333335,1,0,0,NextBu,0.31774745718576014,None,75.82398911600467,None,75.82398911600467,None,1.302714145207994,77.07462942891289,None,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
None,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
None,,,,0,5,5,5,0,0,0,0,,,,,,,78.39777127699926,None,55.666666666666664,1.383187938015908,78.68923038698267,None,78.68923038698267,None,0.044444444444444446,-0.41333333333333333,1,0,0,NextBu,0.3159226751886308,None,78.68923038698267,None,78.68923038698267,None,1.0630465097529118,80.2935986520024,None,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
None,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
TrialCondition_A.xlsx,None,,None,0,6,6,0,0,0,0,6,,,,,,,81.38972450699657,None,56.111111111111114,1.1992529139388353,81.68835353001487,None,81.68835353001487,None,0.05,-0.3933333333333333,1,0,0,NextBu,0.31475106021389365,None,81.68835353001487,None,81.68835353001487,None,1.2984699361959295,83.47852649691049,None,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
TrialCondition_A.xlsx,None,,None,0,6,6,0,0,1,1,12,,,,,,,84.7918536439538,None,55.222222222222214,0.7284892189782113,85.08913543692324,None,85.08913543692324,None,0.052222222222222225,-0.4066666666666667,1,0,0,NextBu,0.30920703057199717,None,85.08913543692324,None,85.08913543692324,None,0.8165498680225803,86.6302672639722,None,,,,,2021_Nov_12_1456,FatFaceOnline,2021.2.3,59.997875234852785,
