17.8876 	EXP 	Imported Rating_BlockOrder.csv as conditions, 3 conditions, 1 params
17.8884 	EXP 	Created sequence: random, trialTypes=3, nReps=1, seed=None
17.8888 	EXP 	New trial (rep=0, index=0): OrderedDict([('RatingBlock', 'TrialCondition_B.csv')])
17.8924 	DEBUG 	Read csv file with pandas: TrialCondition_B.csv
17.8937 	DEBUG 	Clearing unnamed columns from TrialCondition_B.csv
17.8951 	EXP 	Imported TrialCondition_B.csv as conditions, 24 conditions, 4 params
17.8956 	EXP 	Created sequence: random, trialTypes=24, nReps=1, seed=None
17.8960 	EXP 	New trial (rep=0, index=0): OrderedDict([('Image', 'Images/S_B_I3_04.png'), ('Race', 'Black'), ('Trait', 'Dominant'), ('Type', 'normal')])
17.9216 	DATA 	Keypress: space
17.9265 	EXP 	RInstr: autoDraw = False
17.9265 	EXP 	image_5: image = 'Images/S_B_I3_04.png'
17.9265 	EXP 	slider: markerPos = None
17.9265 	EXP 	slider: markerPos = None
17.9265 	EXP 	slider: rating = None
17.9265 	EXP 	image_5: autoDraw = True
18.2054 	EXP 	slider: autoDraw = True
18.2054 	EXP 	NextBu: autoDraw = True
18.2054 	EXP 	text_4: autoDraw = True
18.2054 	EXP 	text_5: autoDraw = True
20.2559 	DATA 	Mouse: Left button down, pos=(814,190)
20.2724 	EXP 	slider: markerPos = 60.44444444444444
20.2896 	EXP 	slider: markerPos = 60.44444444444444
20.3057 	EXP 	slider: markerPos = 60.44444444444444
20.3224 	EXP 	slider: markerPos = 60.44444444444444
20.3390 	EXP 	slider: markerPos = 60.44444444444444
20.3553 	EXP 	slider: markerPos = 60.44444444444444
20.3722 	EXP 	slider: markerPos = 60.44444444444444
20.3891 	EXP 	slider: markerPos = 60.44444444444444
20.4055 	EXP 	slider: markerPos = 60.44444444444444
20.4225 	EXP 	slider: markerPos = 60.44444444444444
20.4269 	DATA 	Mouse:  Left button up, pos=(814,190)
20.4388 	EXP 	slider: markerPos = 60.44444444444444
20.4561 	EXP 	slider: markerPos = 60.44444444444444
20.4561 	EXP 	slider: rating = 60.44444444444444
21.0054 	DATA 	Mouse: Left button down, pos=(743,94)
21.0220 	EXP 	image_5: autoDraw = False
21.0220 	EXP 	slider: autoDraw = False
21.0220 	EXP 	NextBu: autoDraw = False
21.0220 	EXP 	text_4: autoDraw = False
21.0220 	EXP 	text_5: autoDraw = False
21.0220 	EXP 	text: text = 0.749904896576627
21.0220 	EXP 	text: autoDraw = True
21.1067 	DATA 	Mouse:  Left button up, pos=(743,94)
21.7571 	EXP 	New trial (rep=0, index=1): OrderedDict([('Image', 'Images/S_B_I4_03.png'), ('Race', 'Black'), ('Trait', 'Dominant'), ('Type', 'normal')])
21.7735 	EXP 	text: autoDraw = False
21.7735 	EXP 	text: autoDraw = False
21.7735 	EXP 	image_5: image = 'Images/S_B_I4_03.png'
21.7735 	EXP 	slider: markerPos = None
21.7735 	EXP 	slider: markerPos = None
21.7735 	EXP 	slider: rating = None
21.7735 	EXP 	image_5: autoDraw = True
22.0722 	EXP 	slider: autoDraw = True
22.0722 	EXP 	NextBu: autoDraw = True
22.0722 	EXP 	text_4: autoDraw = True
22.0722 	EXP 	text_5: autoDraw = True
24.1061 	DATA 	Mouse: Left button down, pos=(448,197)
24.1221 	EXP 	slider: markerPos = 19.77777777777778
24.1392 	EXP 	slider: markerPos = 19.77777777777778
24.1556 	EXP 	slider: markerPos = 19.77777777777778
24.1723 	EXP 	slider: markerPos = 19.77777777777778
24.1888 	EXP 	slider: markerPos = 19.77777777777778
24.2060 	EXP 	slider: markerPos = 19.77777777777778
24.2065 	DATA 	Mouse:  Left button up, pos=(448,197)
