RKey.keys,RKey.rt,slider.response,slider.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,ITI,Ratingtrials.thisRepN,Ratingtrials.thisTrialN,Ratingtrials.thisN,Ratingtrials.thisIndex,Ratingtrials.ran,Image,Gender,AgeGroup,MacID,Age,"Ethnicity (e.g., African, Asian, & Caucasian)",date,expName,psychopyVersion,OS,frameRate,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,RatingBlockOrder.ran,RatingBlock
space,0.9794,54.49108209,1.5951,0.035561117,-0.422910088,1,0,0,NextBu,0.747789405,0,0,0,1,1,Images/midA-M-ver6.jpg,,midadult,,,,2021-11-08_14h15.39.201,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,52.09579807,1.0467,0.020957981,-0.370260281,1,0,0,NextBu,1.124696991,0,1,1,0,1,Images/midA-M-ver5.jpg,,midadult,,,,2021-11-08_14h15.39.201,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,53.02659776,0.5923,0.019591607,-0.379027032,1,0,0,NextBu,0.972626191,0,2,2,2,1,Images/midA-F-ver2.jpg,,midadult,,,,2021-11-08_14h15.39.201,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,55.30723741,0.529,0.031150987,-0.396621568,1,0,0,NextBu,1.423259979,0,3,3,3,1,Images/midA-F-ver3.jpg,,midadult,,,,2021-11-08_14h15.39.201,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2021-11-08_14h15.39.201,FatFaceRating,2021.2.3,MacIntel,60.0024001,0,0,0,3,1,TrialCondition_D.xlsx
