RatingBlock,Image,Gender,AgeGroup,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,Ratingtrials.thisRepN,Ratingtrials.thisTrialN,Ratingtrials.thisN,Ratingtrials.thisIndex,RInstr.started,RInstr.stopped,RKey.keys,RKey.rt,RKey.started,RKey.stopped,image_5.started,image_5.stopped,slider.response,slider.rt,slider.started,slider.stopped,NextBu.started,NextBu.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_5.started,mouse_5.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,ITI,text.started,text.stopped,MacID,Gender,Age,Ethnicity (e.g., African, Asian, & Caucasian),date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,13.989597601001151,None,space,1.2034191380953416,13.989597601001151,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Nov_15_1731,FatFaceOnline,2021.2.3,59.97176792517396,
TrialCondition_E.xlsx,Images/sA-F-ver7.jpg,,senioradult,0,0,0,4,0,0,0,3,,,,,,,15.318001960986294,None,50.66666666666667,1.4473696569912136,15.60526226600632,None,15.60526226600632,None,0.017777777777777778,-0.37222222222222223,1,0,0,NextBu,0.3315482990583405,None,15.60526226600632,None,15.60526226600632,None,0.7664367246736724,17.513394261011854,None,,,,,2021_Nov_15_1731,FatFaceOnline,2021.2.3,59.97176792517396,
TrialCondition_E.xlsx,Images/sA-F-ver1.jpg,,senioradult,0,0,0,4,0,1,1,2,,,,,,,18.340591088985093,None,50.66666666666667,1.3132835910655558,18.641948280041106,None,18.641948280041106,None,0.016666666666666666,-0.38,1,0,0,NextBu,0.3203598861582577,None,18.641948280041106,None,18.641948280041106,None,1.3280479817086033,20.0948097249493,None,,,,,2021_Nov_15_1731,FatFaceOnline,2021.2.3,59.97176792517396,
TrialCondition_E.xlsx,Images/sA-M-ver4.jpg,,senioradult,0,0,0,4,0,2,2,0,,,,,,,21.50036623305641,None,50.22222222222222,0.7589418790303171,21.793971198960207,None,21.793971198960207,None,0.0022222222222222222,-0.3977777777777778,1,0,0,NextBu,0.31212113599758595,None,21.793971198960207,None,21.793971198960207,None,1.398865405154964,22.523216200992465,None,,,,,2021_Nov_15_1731,FatFaceOnline,2021.2.3,59.97176792517396,
TrialCondition_E.xlsx,Images/sA-M-ver7.jpg,,senioradult,0,0,0,4,0,3,3,1,,,,,,,23.985379775054753,None,49.55555555555556,0.765316603006795,24.27389737404883,None,24.27389737404883,None,0.0,-0.36666666666666664,1,0,0,NextBu,0.3166518621146679,None,24.27389737404883,None,24.27389737404883,None,0.758798832677073,25.051071619032882,None,,,,,2021_Nov_15_1731,FatFaceOnline,2021.2.3,59.97176792517396,
TrialCondition_E.xlsx,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Nov_15_1731,FatFaceOnline,2021.2.3,59.97176792517396,
TrialCondition_A.xlsx,None,,None,0,1,1,0,0,0,0,14,,,,,,,25.83681552798953,None,50.33333333333333,0.8098389300284907,26.140195340034552,None,26.140195340034552,None,0.0033333333333333335,-0.39,1,0,0,NextBu,0.32028345903381705,None,26.140195340034552,None,26.140195340034552,None,1.4972797494944499,27.034594523953274,None,,,,,2021_Nov_15_1731,FatFaceOnline,2021.2.3,59.97176792517396,
TrialCondition_A.xlsx,Images/chld-M-ver2.jpg,,child,0,1,1,0,0,1,1,0,,,,,,,28.56554291397333,None,50.11111111111111,1.0740340258926153,28.855915884952992,None,28.855915884952992,None,0.0044444444444444444,-0.35777777777777775,1,0,0,NextBu,0.3133797710761428,None,28.855915884952992,None,28.855915884952992,None,1.2411654192973334,29.99292307998985,None,,,,,2021_Nov_15_1731,FatFaceOnline,2021.2.3,59.97176792517396,
TrialCondition_A.xlsx,None,,None,0,1,1,0,0,2,2,4,,,,,,,31.24509942403529,None,49.888888888888886,0.7821697819745168,31.540093202027492,None,31.540093202027492,None,0.011111111111111112,-0.37666666666666665,1,0,0,NextBu,0.31051123805809766,None,31.540093202027492,None,31.540093202027492,None,0.6146545415249515,32.568774243001826,None,,,,,2021_Nov_15_1731,FatFaceOnline,2021.2.3,59.97176792517396,
TrialCondition_A.xlsx,None,,None,0,1,1,0,0,3,3,7,,,,,,,33.19449603499379,None,50.33333333333333,1.2492530430899933,33.506067867041565,None,33.506067867041565,None,0.014444444444444444,-0.39,1,0,0,NextBu,0.2997545509133488,None,33.506067867041565,None,33.506067867041565,None,1.1737287711356714,34.99156509398017,None,,,,,2021_Nov_15_1731,FatFaceOnline,2021.2.3,59.97176792517396,
