RKey.keys,RKey.rt,slider.response,slider.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,ITI,Ratingtrials.thisRepN,Ratingtrials.thisTrialN,Ratingtrials.thisN,Ratingtrials.thisIndex,Ratingtrials.ran,Image,Gender,AgeGroup,MacID,Age,"Ethnicity (e.g., African, Asian, & Caucasian)",date,expName,psychopyVersion,OS,frameRate,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,RatingBlockOrder.ran,RatingBlock
space,1.0075,49.84173584,1.1061,0.000339084,-0.39437439,1,0,0,NextBu,0.669871822,0,0,0,1,1,Images/chld-M-ver3.jpg,,child,,,,2021-11-15_18h38.39.293,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,50.23818631,0.7016,0.002381863,-0.408037381,1,0,0,NextBu,1.035348739,0,1,1,2,1,Images/chld-F-ver2.jpg,,child,,,,2021-11-15_18h38.39.293,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,50.13330078,0.7534,-0.001895549,-0.376011963,1,0,0,NextBu,0.523185212,0,2,2,0,1,Images/chld-M-ver2.jpg,,child,,,,2021-11-15_18h38.39.293,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,49.77229818,0.8828,-0.002277018,-0.377816908,1,0,0,NextBu,0.782838078,0,3,3,3,1,Images/chld-F-ver3.jpg,,child,,,,2021-11-15_18h38.39.293,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2021-11-15_18h38.39.293,FatFaceRating,2021.2.3,MacIntel,60.0024001,0,0,0,0,1,TrialCondition_A.xlsx
