RatingBlock,Image,Gender,AgeGroup,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,Ratingtrials.thisRepN,Ratingtrials.thisTrialN,Ratingtrials.thisN,Ratingtrials.thisIndex,RInstr.started,RInstr.stopped,RKey.keys,RKey.rt,RKey.started,RKey.stopped,image_5.started,image_5.stopped,slider.response,slider.rt,slider.started,slider.stopped,NextBu.started,NextBu.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_5.started,mouse_5.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,ITI,text.started,text.stopped,EndText.started,EndText.stopped,MacID,Gender,Age,Ethnicity (e.g., African, Asian, & Caucasian),date,expName,psychopyVersion,frameRate,
TrialCondition_A.xslx,images/adl-F-ver8.jpg,,adolescent,0,1,1,0,0,3,3,7,,,,,,,108.86849816699396,None,28.77777777777778,1.189457833999768,109.16606933399453,None,109.16606933399453,None,-0.027777777777777776,-0.4033333333333333,1,0,0,NextBu,0.310477966995677,None,109.16606933399453,None,109.16606933399453,None,0.9401194078262296,111.49845937499776,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_A.xslx,images/midA-M-ver6.jpg,,midadult,0,1,1,0,0,4,4,13,,,,,,,112.46433237500605,None,46.44444444444444,1.292707500018878,112.76550704200054,None,112.76550704200054,None,-0.0022222222222222222,-0.39222222222222225,1,0,0,NextBu,0.3135000170150306,None,112.76550704200054,None,112.76550704200054,None,0.7893174075621009,114.51548999999068,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_A.xslx,images/yA-F-ver5.jpg,,youngadult,0,1,1,0,0,5,5,11,,,,,,,115.31740595898009,None,61.22222222222222,1.2902462919882964,115.61852062499383,None,115.61852062499383,None,0.06888888888888889,-0.38222222222222224,1,0,0,NextBu,0.3102644250029698,None,115.61852062499383,None,115.61852062499383,None,0.5781833372807331,117.18215999999666,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_A.xslx,images/chld-M-ver3.jpg,,child,0,1,1,0,0,6,6,1,,,,,,,117.76992637498188,None,54.11111111111111,0.820698125025956,118.064808583993,None,118.064808583993,None,0.03111111111111111,-0.38555555555555554,1,0,0,NextBu,0.3016308000078425,None,118.064808583993,None,118.064808583993,None,1.4986215234286249,119.06508374999976,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_A.xslx,images/yA-F-ver2.jpg,,youngadult,0,1,1,0,0,7,7,10,,,,,,,120.56925599998794,None,49.0,1.1044459579861723,120.86606041699997,None,120.86606041699997,None,-0.0044444444444444444,-0.37333333333333335,1,0,0,NextBu,0.30386771701159887,None,120.86606041699997,None,120.86606041699997,None,1.2037435754869135,122.13210941699799,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_A.xslx,images/sA-M-ver4.jpg,,senioradult,0,1,1,0,0,8,8,16,,,,,,,123.36913208398619,None,40.55555555555556,1.33845641699736,123.66518720900058,None,123.66518720900058,None,-0.02,-0.38666666666666666,1,0,0,NextBu,0.3049325169704389,None,123.66518720900058,None,123.66518720900058,None,1.0869023213082347,125.59892729198327,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_A.xslx,images/midA-F-ver3.jpg,,midadult,0,1,1,0,0,9,9,15,,,,,,,126.71858958399389,None,24.88888888888889,1.423159541998757,127.01577699999325,None,127.01577699999325,None,-0.023333333333333334,-0.41555555555555557,1,0,0,NextBu,0.3053279329906218,None,127.01577699999325,None,127.01577699999325,None,0.6381849872832621,128.682078791986,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_A.xslx,images/adl-M-ver2.jpg,,adolescent,0,1,1,0,0,10,10,4,,,,,,,129.3318065420026,None,55.77777777777778,1.4444435840123333,129.632565042004,None,129.632565042004,None,0.04,-0.3811111111111111,1,0,0,NextBu,0.3154532580228988,None,129.632565042004,None,129.632565042004,None,1.2721044280171325,131.41509850000148,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_A.xslx,images/yA-M-ver5.jpg,,youngadult,0,1,1,0,0,11,11,8,,,,,,,132.69972145897918,None,58.55555555555556,0.9418251249880996,132.99913579199347,None,132.99913579199347,None,0.0,-0.3811111111111111,1,0,0,NextBu,0.309348258015234,None,132.99913579199347,None,132.99913579199347,None,1.267333226997956,134.13214762500138,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_A.xslx,images/midA-M-ver5.jpg,,midadult,0,1,1,0,0,12,12,12,,,,,,,135.41708349998225,None,59.22222222222222,1.0742178749933373,135.71597591700265,None,135.71597591700265,None,0.034444444444444444,-0.37,1,0,0,NextBu,0.30876384998555295,None,135.71597591700265,None,135.71597591700265,None,1.3213127634820705,136.94895066699246,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_A.xslx,images/adl-F-ver5.jpg,,adolescent,0,1,1,0,0,13,13,6,,,,,,,138.2828313339851,None,50.33333333333333,0.8263940420001745,138.58235874999082,None,138.58235874999082,None,0.008888888888888889,-0.37,1,0,0,NextBu,0.31193042400991544,None,138.58235874999082,None,138.58235874999082,None,0.6812055546919082,139.51582679199055,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_A.xslx,images/sA-M-ver7.jpg,,senioradult,0,1,1,0,0,14,14,17,,,,,,,140.21910274997936,None,51.11111111111111,0.805863124987809,140.51575658400543,None,140.51575658400543,None,0.03111111111111111,-0.4311111111111111,1,0,0,NextBu,0.30465364202973433,None,140.51575658400543,None,140.51575658400543,None,1.2809277569371018,141.59903312497772,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_A.xslx,images/chld-F-ver3.jpg,,child,0,1,1,0,0,15,15,3,,,,,,,142.89028224998037,None,73.88888888888889,1.0673307499964722,143.18284095899435,None,143.18284095899435,None,0.06555555555555556,-0.3788888888888889,1,0,0,NextBu,0.3124033919884823,None,143.18284095899435,None,143.18284095899435,None,1.0175809331285257,144.44804833398666,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_A.xslx,images/midA-F-ver2.jpg,,midadult,0,1,1,0,0,16,16,14,,,,,,,145.48139437500504,None,77.44444444444444,1.176015874982113,145.78298124999856,None,145.78298124999856,None,0.02666666666666667,-0.3811111111111111,1,0,0,NextBu,0.31370384999900125,None,145.78298124999856,None,145.78298124999856,None,1.207956738892403,147.165678749996,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_A.xslx,images/adl-M-ver3.jpg,,adolescent,0,1,1,0,0,17,17,5,,,,,,,148.38266629198915,None,66.88888888888889,0.843593375000637,148.68273458399926,None,148.68273458399926,None,0.04555555555555556,-0.3888888888888889,1,0,0,NextBu,0.3129922170192003,None,148.68273458399926,None,148.68273458399926,None,1.2770337179064999,149.699024542002,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_A.xslx,images/sA-F-ver1.jpg,,senioradult,0,1,1,0,0,18,18,18,,,,,,,151.00282224998227,None,86.55555555555556,1.2550123330147471,151.2994651249901,None,151.2994651249901,None,0.044444444444444446,-0.42333333333333334,0,0,0,NextBu,0.30464351701084524,None,151.2994651249901,None,151.2994651249901,None,1.256127887669687,153.3160243750026,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_A.xslx,images/yA-M-ver7.jpg,,youngadult,0,1,1,0,0,19,19,9,,,,,,,154.58877470900188,None,27.222222222222225,1.5535036249784753,154.88267008398543,None,154.88267008398543,None,0.05555555555555555,-0.39666666666666667,1,0,0,NextBu,0.3156953080033418,None,154.88267008398543,None,154.88267008398543,None,0.9492760873689008,156.94980795899755,None,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
TrialCondition_A.xslx,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Oct_12_1938,FatFaceOnline,2021.2.3,59.598558888518404,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.89930200000526,None,,,,,,,,,
