RKey.keys,RKey.rt,slider.response,slider.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,ITI,Ratingtrials.thisRepN,Ratingtrials.thisTrialN,Ratingtrials.thisN,Ratingtrials.thisIndex,Ratingtrials.ran,Image,Gender,AgeGroup,MacID,Age,"Ethnicity (e.g., African, Asian, & Caucasian)",date,expName,psychopyVersion,OS,frameRate,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,RatingBlockOrder.ran,RatingBlock
space,4.3659,72.27358218,4.098,0.010528791,-0.390614149,1,0,0,NextBu,1.012923795,0,0,0,2,1,Images/yA-F-ver2.jpg,,youngadult,,,,2021-11-01_20h54.15.497,FatFaceRating,2021.2.3,MacIntel,30.0003,,,,,,
,,72.02184606,1.3814,0.020764612,-0.382761863,1,0,0,NextBu,0.688121156,0,1,1,0,1,Images/yA-M-ver5.jpg,,youngadult,,,,2021-11-01_20h54.15.497,FatFaceRating,2021.2.3,MacIntel,30.0003,,,,,,
,,72.90653935,1.0156,0.002300347,-0.393276186,1,0,0,NextBu,1.283591447,0,2,2,1,1,Images/yA-M-ver7.jpg,,youngadult,,,,2021-11-01_20h54.15.497,FatFaceRating,2021.2.3,MacIntel,30.0003,,,,,,
,,76.57732928,0.8735,0.002235243,-0.372844329,1,0,0,NextBu,0.558561082,0,3,3,3,1,Images/yA-F-ver5.jpg,,youngadult,,,,2021-11-01_20h54.15.497,FatFaceRating,2021.2.3,MacIntel,30.0003,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2021-11-01_20h54.15.497,FatFaceRating,2021.2.3,MacIntel,30.0003,0,0,0,2,1,TrialCondition_C.xlsx
