RatingBlock,Image,Gender,AgeGroup,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,Ratingtrials.thisRepN,Ratingtrials.thisTrialN,Ratingtrials.thisN,Ratingtrials.thisIndex,RInstr.started,RInstr.stopped,RKey.keys,RKey.rt,RKey.started,RKey.stopped,image_5.started,image_5.stopped,slider.response,slider.rt,slider.started,slider.stopped,NextBu.started,NextBu.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_5.started,mouse_5.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,ITI,text.started,text.stopped,MacID,Gender,Age,Ethnicity (e.g., African, Asian, & Caucasian),date,expName,psychopyVersion,frameRate,
TrialCondition_F.xlsx,Images/F-A-A-ver1.jpg,,Adult ,0,1,1,5,0,7,7,0,,,,,,,43.40927363804076,None,49.888888888888886,0.8959511748980731,43.69768973602913,None,43.69768973602913,None,0.0011111111111111111,-0.3977777777777778,1,0,0,NextBu,0.31396522908471525,None,43.69768973602913,None,43.69768973602913,None,0.992268495419764,44.76576582493726,None,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
TrialCondition_F.xlsx,Images/M-A-A-ver2.jpg,,Adult ,0,1,1,5,0,8,8,12,,,,,,,45.77604059095029,None,50.11111111111111,0.8818736019311473,46.066415122943,None,46.066415122943,None,0.011111111111111112,-0.4,1,0,0,NextBu,0.3130538739496842,None,46.066415122943,None,46.066415122943,None,1.2226502828429504,47.146990027977154,None,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
TrialCondition_F.xlsx,Images/F-C-A-ver3.jpg,,Adult ,0,1,1,5,0,9,9,18,,,,,,,48.400712575996295,None,50.22222222222222,1.079634235939011,48.697163159027696,None,48.697163159027696,None,0.01,-0.36444444444444446,1,0,0,NextBu,0.3171730820322409,None,48.697163159027696,None,48.697163159027696,None,1.2970145917615112,54.65609066095203,None,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
TrialCondition_F.xlsx,Images/M-C-A-ver2.jpg,,Adult ,0,1,1,5,0,10,10,14,,,,,,,55.977162141003646,None,50.11111111111111,1.3324791169725358,56.267172425985336,None,56.267172425985336,None,0.011111111111111112,-0.38666666666666666,1,0,0,NextBu,0.31261938507668674,None,56.267172425985336,None,56.267172425985336,None,1.101303216667508,57.68132712703664,None,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
TrialCondition_F.xlsx,Images/M-C-A-ver1.jpg,,Adult ,0,1,1,5,0,11,11,6,,,,,,,58.8091519420268,None,50.22222222222222,1.0311548910103738,59.10319392103702,None,59.10319392103702,None,0.006666666666666667,-0.4255555555555556,1,0,0,NextBu,0.3178706078324467,None,59.10319392103702,None,59.10319392103702,None,1.3154603969161556,60.196560529991984,None,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
TrialCondition_F.xlsx,Images/F-A-A-ver2.jpg,,Adult ,0,1,1,5,0,12,12,8,,,,,,,61.54317199997604,None,50.0,0.8122402599547058,61.83570269297343,None,61.83570269297343,None,0.02,-0.3788888888888889,1,0,0,NextBu,0.31394127290695906,None,61.83570269297343,None,61.83570269297343,None,0.6568079625333473,62.75922311202157,None,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
TrialCondition_F.xlsx,Images/M-C-C-ver1.jpg,,Adult ,0,1,1,5,0,13,13,7,,,,,,,63.44391712802462,None,50.22222222222222,1.7680027250899002,63.73347942600958,None,63.73347942600958,None,0.0011111111111111111,-0.3811111111111111,1,0,0,NextBu,0.3103695419849828,None,63.73347942600958,None,63.73347942600958,None,1.1030046421060886,65.72636066097766,None,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
TrialCondition_F.xlsx,Images/F-A-C-ver2.jpg,,Adult ,0,1,1,5,0,14,14,9,,,,,,,66.85781539301388,None,49.888888888888886,1.3173481170088053,67.15647644293495,None,67.15647644293495,None,0.0,-0.39111111111111113,1,0,0,NextBu,0.3244259608909488,None,67.15647644293495,None,67.15647644293495,None,1.249680436165296,68.56774984893855,None,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
TrialCondition_F.xlsx,Images/F-C-A-ver1.jpg,,Adult ,0,1,1,5,0,15,15,2,,,,,,,69.84114088502247,None,50.22222222222222,1.1187528719892725,70.13633698492777,None,70.13633698492777,None,0.016666666666666666,-0.3844444444444444,1,0,0,NextBu,0.3202186120906845,None,70.13633698492777,None,70.13633698492777,None,1.2469279036627188,71.45656960096676,None,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
TrialCondition_F.xlsx,Images/F-C-C-ver1.jpg,,Adult ,0,1,1,5,0,16,16,3,,,,,,,72.72600872593466,None,50.44444444444445,0.8781009609811008,73.01674851798452,None,73.01674851798452,None,0.027777777777777776,-0.38333333333333336,1,0,0,NextBu,0.3162477109581232,None,73.01674851798452,None,73.01674851798452,None,0.8965907289514656,74.07674855203368,None,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
TrialCondition_F.xlsx,Images/F-A-C-ver1.jpg,,Adult ,0,1,1,5,0,17,17,1,,,,,,,74.99246955593117,None,50.44444444444445,0.9516851799562573,75.28352327900939,None,75.28352327900939,None,0.01,-0.4022222222222222,1,0,0,NextBu,0.314217364997603,None,75.28352327900939,None,75.28352327900939,None,0.8066812589357425,76.36990667099599,None,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
TrialCondition_F.xlsx,Images/F-A-A-ver3.jpg,,Adult ,0,1,1,5,0,18,18,16,,,,,,,77.20901100395713,None,50.22222222222222,0.7789442599751055,77.5025580090005,None,77.5025580090005,None,0.011111111111111112,-0.40555555555555556,1,0,0,NextBu,0.31537952402140945,None,77.5025580090005,None,77.5025580090005,None,0.6613395180104552,78.36858216801193,None,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
TrialCondition_F.xlsx,Images/F-C-C-ver2.jpg,,Adult ,0,1,1,5,0,19,19,11,,,,,,,79.04604149900842,None,50.11111111111111,0.8847002519760281,79.33716356602963,None,79.33716356602963,None,0.03,-0.39666666666666667,1,0,0,NextBu,0.31630608695559204,None,79.33716356602963,None,79.33716356602963,None,0.6837041435451193,80.41220610099845,None,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
TrialCondition_F.xlsx,Images/M-A-C-ver3.jpg,,Adult ,0,1,1,5,0,20,20,21,,,,,,,81.11520143900998,None,49.77777777777778,1.3409397230716422,81.39994783897419,None,81.39994783897419,None,0.028888888888888888,-0.39111111111111113,1,0,0,NextBu,0.30805418197996914,None,81.39994783897419,None,81.39994783897419,None,0.7636129585278353,82.88738517393358,None,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
TrialCondition_F.xlsx,Images/M-A-C-ver1.jpg,,Adult ,0,1,1,5,0,21,21,5,,,,,,,83.67399631696753,None,50.55555555555556,1.4736608020029962,83.96713636594359,None,83.96713636594359,None,0.0011111111111111111,-0.41888888888888887,1,0,0,NextBu,0.31752269295975566,None,83.96713636594359,None,83.96713636594359,None,1.4325202410033784,86.01568111800589,None,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
TrialCondition_F.xlsx,Images/F-A-C-ver3.jpg,,Adult ,0,1,1,5,0,22,22,17,,,,,,,87.46816038095858,None,50.22222222222222,0.965329632977955,87.76784392003901,None,87.76784392003901,None,0.006666666666666667,-0.42,1,0,0,NextBu,0.32285788597073406,None,87.76784392003901,None,87.76784392003901,None,1.0995530997809306,88.99443665402941,None,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
TrialCondition_F.xlsx,Images/M-C-C-ver3.jpg,,Adult ,0,1,1,5,0,23,23,23,,,,,,,90.1250917139696,None,50.66666666666667,1.0362375529948622,90.4156209139619,None,90.4156209139619,None,0.0011111111111111111,-0.3788888888888889,1,0,0,NextBu,0.31324938603211194,None,90.4156209139619,None,90.4156209139619,None,1.0625265985088461,91.7715898809256,None,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
TrialCondition_F.xlsx,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021_Nov_15_1732,FatFaceOnline,2021.2.3,60.02327141614156,
