RKey.keys,RKey.rt,slider.response,slider.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,ITI,Ratingtrials.thisRepN,Ratingtrials.thisTrialN,Ratingtrials.thisN,Ratingtrials.thisIndex,Ratingtrials.ran,Image,Gender,AgeGroup,MacID,Age,"Ethnicity (e.g., African, Asian, & Caucasian)",date,expName,psychopyVersion,OS,frameRate,RatingBlockOrder.thisRepN,RatingBlockOrder.thisTrialN,RatingBlockOrder.thisN,RatingBlockOrder.thisIndex,RatingBlockOrder.ran,RatingBlock
space,0.985,57.63699002,1.2262,0.040350613,-0.372053765,1,0,0,NextBu,0.831167535,0,0,0,2,1,Images/sA-F-ver1.jpg,,senioradult,,,,2021-11-10_17h37.54.363,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,55.17793104,1.2744,0.041012573,-0.364107802,1,0,0,NextBu,1.127464178,0,1,1,0,1,Images/sA-M-ver4.jpg,,senioradult,,,,2021-11-10_17h37.54.363,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,56.3266805,0.826,0.044582655,-0.374243639,1,0,0,NextBu,0.535648345,0,2,2,3,1,Images/sA-F-ver7.jpg,,senioradult,,,,2021-11-10_17h37.54.363,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,56.91486952,1.069,0.04050354,-0.391942274,1,0,0,NextBu,0.756483544,0,3,3,1,1,Images/sA-M-ver7.jpg,,senioradult,,,,2021-11-10_17h37.54.363,FatFaceRating,2021.2.3,MacIntel,60.0024001,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2021-11-10_17h37.54.363,FatFaceRating,2021.2.3,MacIntel,60.0024001,0,0,0,4,1,TrialCondition_E.xlsx
